Feature; To include sth
Define; To say exactly what something means, or what someone or something is like
Common ground; Shared interests, beliefs, and ideas
Candid; Open and honest always telling the truth
Mindset; A person's way of thinking and their opinions
Integrity; Having strong moral principles that you refuse to change
Hands-on; Involving or offering active participation and practice rather than theory
Collaborative; Involving two or more people working together for a special purpose
Rapport; Agreement, harmony or sympathy between people or groups
Out-the-box thinking; The ability to think creatively and differently from others
Strive; To try hard to do something or make something happen
Proactive; Taking action by causing change and not only reacting to change when it happens
Persistent; Not giving up or stopping, continuing to do something even when facing difficulties or opposition
Curious; Interested in learning about people or things around you
Fast learner; Someone able to learn new knowledge and skills quickly and easily
Open-minded; Willing to accept new ideas
Trustworthy; Reliable
Persuasive; Good at making someone do or believe something through reasoning or the use of temptation
Determined; Strongly motivated to succeed
Dedicated; Believing that something is very important and giving a lot of time and energy to it
Tech-savvy; Knowing a lot about technology
Stress-tolerant; Able to handle stress very well and not be disturbed by it
Straightforward; Honest and not likely to hide their opinions
Considerate; Showing concern for the needs or feelings of others
Versatile; Able to do many things well
Resourceful; Effective and imaginative in solving problems; practical
Thorough; Focused on accuracy and detail
Leadership skills; The set of characteristics that make a good leader
Role-related knowledge; When you know something connected with the specific position
Transferable skills; Abilities that can be used in more than one sphere
Core and central issue; The most important problem or question
Reasoning behind smth; The process of thinking about something in order to make a decision
Break smth down; To separate something into smaller parts
Coherent; Expressing yourself clearly and in an organized way
Parse; To analyze in detail
Assess; To decide the quality or importance of smth/smb
Extract; To get something, such as information, from someone
Assumption; Something that you consider likely to be true
Clarify; To make something clearer or easier to understand by giving more details or a simpler explanation
Excess; An amount that is more than acceptable, expected, or reasonable
At hand; Happening or present at this time
Tie into; To connect to or associate with something
A win-win situation; A situation that is good for everyone who is involved
A long shot; An attempt or guess that is not likely to be successful
A safe bet; Something that is likely to happen or to be successful
A zero-sum game; A situation in which an advantage that is won by one of two sides is lost by the other
An uphill battle; Something that is difficult to do and requires a lot of effort
To make an appointment; To set an official date and time at which to meet or deal with someone
To boot out; To make someone leave a place
To leverage; To use (something) to maximum advantage
Underpaid; Paid too little for the work you do
Timid; Shy and nervous; without much confidence
To measure up to; To be good enough, or as good as smth else
To go out of your way; To try especially hard to do something good or helpful
Qualms; An uncomfortable feeling when you doubt if you are doing the right thing
To merit; To deserve something
To threaten; To tell smb that you will or harm them, esp. if the person does not do something that you want
Prospect; The possibility of being successful in the future
Looming/approaching deadline; A deadline that is getting close
Tight deadline; Not allowing you much time before it has to be met
Push back; Postpone or delay
To start from scratch; To start from zero
To give/get the green light; To get permission to start from management
To sign off on the project; Management says the project is complete and done to the agreed standard
To head; To lead or direct
To be tasked with; To be given a task
To foresee; To know about something before it happens
To plan ahead; To make plans thinking about any problems you may encounter in the future
To be behind or ahead of schedule; To work slower than you predicted when you made the deadline
To run out of time, money etc.; When a resource is low and must be renewed
Slip through the cracks; To be forgotten or overlooked because you were paying attention to other things
Balls in the air; Too many things happening or competing for one's attention at the same time
Slacker; A person who is lazy and avoids work
Hectic; Characterized by intense activity
Adhere (to); Continue to obey, believe in, or support something; stick to something
Predetermined; Decided or arranged at an earlier time
Allotted; Given or made available for a specific purpose
Susceptible (to); Easily influenced or harmed by something
(be) congruent (with); In agreement with something
Discrepancy; A difference between two things that should be the same
Conduct; To organize and perform a particular activity
Align; To change something so that it has a correct relationship to something else
Mitigate; To make something less harmful, unpleasant, or bad
Grid; A pattern or structure made from horizontal and vertical lines crossing each other to form squares
Spot; To see or notice someone or something, usually because you are looking hard
Excel; To be extremely good at something a gut feeling - intuition
Upcoming; This is a project that's still under review by a client
Pending; Pending refers to projects that have been approved and started but need to pause work temporarily
Overdue; This means that a project is still in progress but that the deadline for completion has passed
Not started; This term shows that a project is approved but has not been started yet
Active; This means that a project is approved and still being completed
Priority; Priority indicates that a project should be addressed immediately before other projects
Canceled; The term canceled means that a project is no longer active but that you can still access the information about its progress from reports
Troubleshooting; Discovering and solving problems
A long shot; A solution that has little chance of being successful
Hiccup; An issue that causes a delay but is not very serious
Quick fix; A fast and easy solution that solves a problem only for a short time
Obstacle; Something that prevents you from making progress
Defect; A technical issue that prevents something from working properly
Long-term solutions; Solutions that solve a problem for an extended period of time
Subsection; One of the smaller parts into which the main parts of a document are divided
Bullet point; A small symbol, often a black circle, used in text to show each new part of a list
To spot; To see or notice someone or something, usually because you are looking hard
To come up; To happen, usually unexpectedly
Layer; A level of material that is different from the material above or below it
Desired; That is wanted
Commitment; Willingness to give your time and energy to a job, activity, or something that you believe in
Tempting; Something that makes you want to do or have it
Insight; A clear, deep understanding of a complicated problem or situation
To enable; To make someone or something able to do something, or to make something possible
Responsive; Reacting quickly and well to something or someone
Scalable; Used to describe a business or system that is able to grow or to be made larger
Accelerator; A center where start-ups are "incubated" through mentorship, space, and sometimes cash
Advertorials/Advertainment; Paid content that is meant to look and feel like a real story or blog post
Boot-strapping; Using "friends and family" cash to get going
B to B/B2B; Business to Business. Your company sells things to other companies
B to C/B2C; Business to Consumer. Your company sells stuff to the masses
Burn Rate (Run Rate); How fast you are blowing through your cash
Deck (Pitch Deck); A 10-slide PowerPoint presentation that covers all aspects of your business in a concise and compelling way
Disruptive Technology; Sth that completely changes the way society does something (e.g.  Uber/Lyft vs. Taxis or Amazon vs. in-store shopping)
Exit Strategy; How you will sell the company and make your investors lots of money. Who is going to buy you and why?
Freemium; You give the basic product away for free and then try to upsell features to your customers
Leverage; Use something - technology, partnerships, etc. - to your advantage
Iterate; Code for trying something, doing it wrong, and trying it again in a slightly different way with the hopes of achieving a better result
Gamify; Adding a game layer to a website or product experience that encourages people to use it with rewards of various kinds
Aspiring; Wishing to become successful in a particular type of job
MVP; Minimum Viable Product - a version of a product with just enough features to satisfy early customers and provide feedback for future product development
Tedious; Boring, monotonous, and tiring
Lean startup; An approach to building new businesses based on the belief that
Concern; A worried or nervous feeling about something, or something that makes you feel worried
Brand recall; How likely people are to remember your brand, products, and services
Newsletter; A document with information about the recent activities of an organization, sent regularly to its members or customers
Survey; An examination of opinions, behaviour, etc., made by asking people questions
Assign; To give to someone a job or responsibility, or to decide on a person for a particular job or responsibility
Prominent; Very noticeable, important, or famous
